draw_id,draw_date,prize_class,match_code,description_en,short_label,winners,payout_eur,total_paid_eur
4,2012-04-13,2,5+1,Match 5 + 1 Euro number,5 + 1,0,0.0,0.0
4,2012-04-13,3,5+0,Match 5 + 0 Euro numbers,5 + 0,0,0.0,0.0
4,2012-04-13,4,4+2,Match 4 + 2 Euro numbers,4 + 2,28,2791.5,78162.0
4,2012-04-13,5,4+1,Match 4 + 1 Euro number,4 + 1,387,159.8,61842.6
4,2012-04-13,6,4+0,Match 4 + 0 Euro numbers,4 + 0,497,78.6,39064.2
4,2012-04-13,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1169,47.3,55293.7
4,2012-04-13,8,3+1,Match 3 + 1 Euro number,3 + 1,17373,15.3,265806.9
4,2012-04-13,9,2+2,Match 2 + 2 Euro numbers,2 + 2,15794,14.2,224274.8
4,2012-04-13,10,3+0,Match 3 + 0 Euro numbers,3 + 0,21700,10.8,234360.0
4,2012-04-13,11,1+2,Match 1 + 2 Euro numbers,1 + 2,73909,10.5,776044.5
4,2012-04-13,12,2+1,Match 2 + 1 Euro number,2 + 1,230152,6.4,1472972.8
5,2012-04-20,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
5,2012-04-20,2,5+1,Match 5 + 1 Euro number,5 + 1,1,640891.6,640891.6
5,2012-04-20,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,166631.8,166631.8
5,2012-04-20,4,4+2,Match 4 + 2 Euro numbers,4 + 2,23,3289.1,75649.3
5,2012-04-20,5,4+1,Match 4 + 1 Euro number,4 + 1,221,270.9,59868.9
5,2012-04-20,6,4+0,Match 4 + 0 Euro numbers,4 + 0,272,139.0,37808.0
5,2012-04-20,7,3+2,Match 3 + 2 Euro numbers,3 + 2,935,57.3,53575.5
5,2012-04-20,8,3+1,Match 3 + 1 Euro number,3 + 1,10163,25.4,258140.2
5,2012-04-20,9,2+2,Match 2 + 2 Euro numbers,2 + 2,14154,16.7,236371.8
5,2012-04-20,10,3+0,Match 3 + 0 Euro numbers,3 + 0,12395,16.7,206996.5
5,2012-04-20,11,1+2,Match 1 + 2 Euro numbers,1 + 2,79453,9.5,754803.5
5,2012-04-20,12,2+1,Match 2 + 1 Euro number,2 + 1,155150,9.3,1442895.0
6,2012-04-27,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
6,2012-04-27,2,5+1,Match 5 + 1 Euro number,5 + 1,1,303201.9,303201.9
6,2012-04-27,3,5+0,Match 5 + 0 Euro numbers,5 + 0,0,0.0,0.0
6,2012-04-27,4,4+2,Match 4 + 2 Euro numbers,4 + 2,11,6615.3,72768.3
6,2012-04-27,5,4+1,Match 4 + 1 Euro number,4 + 1,277,207.9,57588.3
6,2012-04-27,6,4+0,Match 4 + 0 Euro numbers,4 + 0,312,116.6,36379.2
6,2012-04-27,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1022,50.4,51508.8
6,2012-04-27,8,3+1,Match 3 + 1 Euro number,3 + 1,11445,21.7,248356.5
6,2012-04-27,9,2+2,Match 2 + 2 Euro numbers,2 + 2,16412,14.4,236332.8
6,2012-04-27,10,3+0,Match 3 + 0 Euro numbers,3 + 0,13276,14.4,191174.4
6,2012-04-27,11,1+2,Match 1 + 2 Euro numbers,1 + 2,90274,8.0,722192.0
6,2012-04-27,12,2+1,Match 2 + 1 Euro number,2 + 1,178350,7.8,1391130.0
7,2012-05-04,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
7,2012-05-04,2,5+1,Match 5 + 1 Euro number,5 + 1,0,0.0,0.0
7,2012-05-04,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,157233.4,157233.4
7,2012-05-04,4,4+2,Match 4 + 2 Euro numbers,4 + 2,12,6030.8,72369.6
7,2012-05-04,5,4+1,Match 4 + 1 Euro number,4 + 1,141,406.3,57288.3
7,2012-05-04,6,4+0,Match 4 + 0 Euro numbers,4 + 0,179,202.1,36175.9
7,2012-05-04,7,3+2,Match 3 + 2 Euro numbers,3 + 2,776,66.0,51216.0
7,2012-05-04,8,3+1,Match 3 + 1 Euro number,3 + 1,8492,29.1,247117.2
7,2012-05-04,9,2+2,Match 2 + 2 Euro numbers,2 + 2,13307,17.8,236864.6
7,2012-05-04,10,3+0,Match 3 + 0 Euro numbers,3 + 0,10478,17.8,186508.4
7,2012-05-04,11,1+2,Match 1 + 2 Euro numbers,1 + 2,83258,9.4,782625.2
7,2012-05-04,12,2+1,Match 2 + 1 Euro number,2 + 1,139493,9.4,1311234.2
8,2012-05-11,1,5+2,Match 5 + 2 Euro numbers,5 + 2,1,19536863.8,19536863.8
8,2012-05-11,2,5+1,Match 5 + 1 Euro number,5 + 1,1,617557.1,617557.1
8,2012-05-11,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,82163.9,82163.9
8,2012-05-11,4,4+2,Match 4 + 2 Euro numbers,4 + 2,23,3297.5,75842.5
8,2012-05-11,5,4+1,Match 4 + 1 Euro number,4 + 1,226,265.6,60025.6
8,2012-05-11,6,4+0,Match 4 + 0 Euro numbers,4 + 0,304,124.7,37908.8
8,2012-05-11,7,3+2,Match 3 + 2 Euro numbers,3 + 2,829,64.8,53719.2
8,2012-05-11,8,3+1,Match 3 + 1 Euro number,3 + 1,9939,26.0,258414.0
8,2012-05-11,9,2+2,Match 2 + 2 Euro numbers,2 + 2,12640,17.2,217408.0
8,2012-05-11,10,3+0,Match 3 + 0 Euro numbers,3 + 0,13951,16.3,227401.3
8,2012-05-11,11,1+2,Match 1 + 2 Euro numbers,1 + 2,72228,10.5,758394.0
8,2012-05-11,12,2+1,Match 2 + 1 Euro number,2 + 1,152140,9.5,1445330.0
9,2012-05-18,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
9,2012-05-18,2,5+1,Match 5 + 1 Euro number,5 + 1,1,278529.7,278529.7
9,2012-05-18,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,72417.7,72417.7
9,2012-05-18,4,4+2,Match 4 + 2 Euro numbers,4 + 2,16,4177.9,66846.4
9,2012-05-18,5,4+1,Match 4 + 1 Euro number,4 + 1,182,290.7,52907.4
9,2012-05-18,6,4+0,Match 4 + 0 Euro numbers,4 + 0,241,138.6,33402.6
9,2012-05-18,7,3+2,Match 3 + 2 Euro numbers,3 + 2,729,64.9,47312.1
9,2012-05-18,8,3+1,Match 3 + 1 Euro number,3 + 1,9556,23.9,228388.4
9,2012-05-18,9,2+2,Match 2 + 2 Euro numbers,2 + 2,12424,16.1,200026.4
9,2012-05-18,10,3+0,Match 3 + 0 Euro numbers,3 + 0,11857,16.1,190897.7
9,2012-05-18,11,1+2,Match 1 + 2 Euro numbers,1 + 2,68999,9.6,662390.4
9,2012-05-18,12,2+1,Match 2 + 1 Euro number,2 + 1,154735,8.2,1268827.0
10,2012-05-25,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
10,2012-05-25,2,5+1,Match 5 + 1 Euro number,5 + 1,2,133522.1,267044.2
10,2012-05-25,3,5+0,Match 5 + 0 Euro numbers,5 + 0,0,0.0,0.0
10,2012-05-25,4,4+2,Match 4 + 2 Euro numbers,4 + 2,17,3770.0,64090.0
10,2012-05-25,5,4+1,Match 4 + 1 Euro number,4 + 1,214,237.0,50718.0
10,2012-05-25,6,4+0,Match 4 + 0 Euro numbers,4 + 0,275,116.5,32037.5
10,2012-05-25,7,3+2,Match 3 + 2 Euro numbers,3 + 2,782,58.0,45356.0
10,2012-05-25,8,3+1,Match 3 + 1 Euro number,3 + 1,10260,21.3,218538.0
10,2012-05-25,9,2+2,Match 2 + 2 Euro numbers,2 + 2,11965,15.5,185457.5
10,2012-05-25,10,3+0,Match 3 + 0 Euro numbers,3 + 0,12257,15.5,189983.5
10,2012-05-25,11,1+2,Match 1 + 2 Euro numbers,1 + 2,66096,9.6,634521.6
10,2012-05-25,12,2+1,Match 2 + 1 Euro number,2 + 1,155436,7.8,1212400.8
11,2012-06-01,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
11,2012-06-01,2,5+1,Match 5 + 1 Euro number,5 + 1,0,0.0,0.0
11,2012-06-01,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,140263.6,140263.6
11,2012-06-01,4,4+2,Match 4 + 2 Euro numbers,4 + 2,19,3441.2,65382.8
11,2012-06-01,5,4+1,Match 4 + 1 Euro number,4 + 1,193,268.1,51743.3
11,2012-06-01,6,4+0,Match 4 + 0 Euro numbers,4 + 0,228,143.3,32672.4
11,2012-06-01,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1207,38.3,46228.1
